"","Unnamed..0","Year","FIPS","combined_mort_y","female_mort_y","male_mort_y","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.Sensitive.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Ninetieth.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10","Latitude","Longitude","mean_mort_c","mean_mort_f","mean_mort_m"
"64",2136,1985,22033,59.5872807817189,44.4406733291151,86.1957045273486,365,0.432876712328767,0.427397260273973,0.0931506849315069,0.0410958904109589,0.00547945205479452,0,225,112,53,0.00547945205479452,0.306849315068493,0.50958904109589,0.178082191780822,0,0,30.544002,91.093174,46.1877719664428,28.3605553342715,75.8707721863693
"65",2137,1985,34013,53.7681325727123,35.7916821974393,85.0847062900126,361,0.365650969529086,0.509695290858726,0.0969529085872576,0.0193905817174515,0.00831024930747922,0,212,103,58,0.0138504155124654,0.545706371191136,0.163434903047091,0.274238227146814,0,0.00277008310249307,40.787217,74.246136,46.1877719664428,28.3605553342715,75.8707721863693
"66",2138,1985,10001,51.2702694184812,33.8742527739051,81.8923513347217,358,0.53072625698324,0.315642458100559,0.111731843575419,0.0391061452513966,0.00279329608938547,0,216,122,46,0,0,0.594972067039106,0.405027932960894,0,0,39.097088,75.502982,46.1877719664428,28.3605553342715,75.8707721863693
"67",2139,1985,41009,63.051315211691,49.8731695597683,86.1390435978936,178,0.910112359550562,0.0786516853932584,0.0112359550561798,0,0,0,136,50,31,0,0,1,0,0,0,45.941932,123.081079,46.1877719664428,28.3605553342715,75.8707721863693
"68",2140,1985,34001,52.0739405072731,35.2757294636189,81.619245710666,363,0.548209366391185,0.283746556473829,0.112947658402204,0.0303030303030303,0.0247933884297521,0,241,129,49,0.247933884297521,0,0.589531680440771,0.162534435261708,0,0,39.469354,74.633758,46.1877719664428,28.3605553342715,75.8707721863693
"69",2141,1985,35015,51.0654474154668,32.704990984669,83.2516310190683,213,0.854460093896714,0.0985915492957746,0.0328638497652582,0.0140845070422535,0,0,200,69,0,0,0,0,1,0,0,32.457858,104.306471,46.1877719664428,28.3605553342715,75.8707721863693
"70",2142,1985,6113,46.223233233938,27.4840008208814,78.5726575930459,365,0.76986301369863,0.164383561643836,0.0493150684931507,0.0164383561643836,0,0,179,84,37,0.104109589041096,0,0.895890410958904,0,0,0,38.679268,121.903178,46.1877719664428,28.3605553342715,75.8707721863693
"71",2143,1985,8077,69.1946959724009,57.0971239034973,88.6385270582782,325,0.96,0.04,0,0,0,0,69,41,14,0.889230769230769,0,0,0.110769230769231,0,0,39.019492,108.461837,46.1877719664428,28.3605553342715,75.8707721863693
"72",2144,1985,47001,65.2157930993102,52.590133479679,87.2037172132011,365,0.591780821917808,0.246575342465753,0.134246575342466,0.0273972602739726,0,0,200,108,41,0,0,0,1,0,0,36.116731,84.195418,46.1877719664428,28.3605553342715,75.8707721863693
"73",2145,1985,40027,68.0033228002857,55.6506289452019,89.3693572506351,360,0.822222222222222,0.169444444444444,0.00833333333333333,0,0,0,136,56,40,0.0666666666666667,0.544444444444444,0.388888888888889,0,0,0,35.203117,97.328332,46.1877719664428,28.3605553342715,75.8707721863693
